AA,Alcoa,NO_SHORT,
AAPL,Apple,
ABT,Abbott,
AEP,American Electric Power,
ALL,Allstate,NO_SHORT,
AMGN,Amgen,
AMZN,Amazon,
AVP,Avon,
AXP,American Express,
BA,Boeing,NO_SHORT,
BAC,Bank of America,
BAX,Baxter,
BHI,Baker Hughes,
BK,Mellon,Bank of New York Mellon,BNY Mellon,NO_SHORT
BMY,Bristol-Myers,
BRK-B,Berkshire Hathaway,BRK,
CAT,Caterpillar,
C,Citi,NO_SHORT
CL,Colgate:,
CMCSA,Comcast,
COF,Capital One,
COP,Conoco,ConocoPhillips,Conoco Phillips,NO_SHORT,
COST,Costco,NO_SHORT
CPB,Campbell,
CSCO,Cisco,
CVS,Caremark,
CVX,Chevron,
DD,DuPont,Du Pont,NO_SHORT
DELL,Dell,
DIS,Disney,NO_SHORT,
DOW,Dow Chemical,
DVN,Devon,
EMC,
ETR,Entergy,
EXC,Exelon,
F,Ford,NO_SHORT
FCX,Freeport,
FDX,FedEx,
GD,General Dynamics,
GE,General Electric,
GILD,Gilead,
GOOG,Google,
GS,Goldman Sach,
HAL,Halliburton,
HD,Home Depot,NO_SHORT
HNZ,Heinz,
HON,Honeywell,
HPQ,Hewlett-Packard,HP,
IBM,International Business Machines,
INTC,Intel,
JNJ,Johnson & JohnsongJ&J,
JPM,JP Morgan,
KFT,Kraft,
KO,Coca-Cola,Coca Cola,NO_SHORT
LMT,Lockheed Martin,
LOW,Lowe's,NO_SHORT
MA,Mastercard,NO_SHORT,
MCD,McDonald's,
MDT,Medtronic,
MET,MetLife,
MMM,3M,
MO,Altria,NO_SHORT,
MON,Monsanto,NO_SHORT
MRK,Merck,
MS,Morgan Stanley,NO_SHORT,
MSFT,Microsoft,
NKE,Nike,
NOV,Oilwell,NO_SHORT,
NSC,Norfolk,
NWSA,News Corp
NYX,Euronext
ORCL,Oracle,
OXY,Occidental Petroleum,
PEP,Pepsico,NO_SHORT
PFE,Pfizer,
PG,Procter & Gamble,
PM,Philip Morris,NO_SHORT
QCOM,QUALCOMM,
RF,Regions Financial,
RTN,Raytheon,
S,Sprint Nextel,NO_SHORT
SLB,Schlumberger,
SLE,Sara Lee,
SO,Southern,NO_SHORT
T,AT&T,AT & T,NO_SHORT
TGT,Target Corporation,Target Coprt,
TWX,Time Warner,
TXN,Texas InstrumentsgTI
UNH,Unitedhealth,
UPS,United Parcel Service,
USB,U.S. Bancorp,U.S. Bank,US Bank,US Bancorp,NO_SHORT
UTX,United Technologies CorpgUTX,
VZ,Verizon,
WAG,Walgreen,
WFC,Wells Fargo,
WMB,Williams Companies,
WMT,Wal-Mart,
WY,Weyerhaeuser,
XOM,Exxon,
XRX,Xerox,
